2.091,-42,-41,-43,-42,-44,-38,-41,-41,-41,-43,-37,-39,-38
2.594,-47,-45,-47,-46,-45,-47,-46,-46,-42,-44,-47,-47,-47
2.856,-50,-50,-45,-52,-50,-50,-47,-46,-46,-47,-47,-50,-47
4.721,-59,-60,-60,-59,-62,-63,-58,-57,-58,-58,-60,-61,-62
3.891,-59,-59,-57,-57,-59,-60,-59,-59,-59,-55,-57,-55,-59
5.189,-62,-62,-62,-65,-67,-69,-65,-68,-66,-64,-64,-66,-65
6.562,-67,-68,-64,-66,-65,-68,-72,-72,-70,-71,-74,-72,-67
7.267,-72,-71,-69,-73,-73,-74,-76,-70,-71,-78,-73,-71,-66
9.059,-72,-75,-75,-74,-80,-77,-79,-77,-78,-82,-77,-79,-76
7.336,-71,-70,-69,-73,-73,-74,-76,-70,-71,-78,-73,-71,-72
